SubClass,Cefazolin,Ceftazidime,Cefepime,Ceftriaxone,Citrulline,Glutamate,Glutathione,(R)-S-Lactoylglutathione,Glutathione (reduced),S-Lactoylglutathione
23,0,-4,-3,-3,31993140 ,124559110 ,315112 ,8772461 ,35492948 ,43022420 
46,0,-4,-3,-3,80459470 ,49381502 ,6292586 ,959029 ,17367827 ,219851 
48,-1,-4,-3,-3,91832985 ,285764966 ,3387934 ,3712089 ,22393346 ,1302919 
50,-1,-4,-3,-3,47490156 ,150887491 ,11902167 ,3987066 ,160989939 ,2591389 
58,0,-4,-3,-3,32265755 ,173852818 ,5913176 ,3006826 ,215977647 ,176094 
70,-1,-4,-3,-3,371438535 ,531478998 ,4526558 ,3038808 ,41058941 ,407843 
75,-1,-4,-3,-3,98209580 ,190797315 ,7900234 ,22298059 ,289349844 ,1848563 
76,-1,-4,-3,-3,78178242 ,123478942 ,5162201 ,2797298 ,131234308 ,1688444 
80,0,-4,-3,-3,141622694 ,295350465 ,4645021 ,10106156 ,112498067 ,5470412 
81,0,-4,-3,-3,45522120 ,105234633 ,7285536 ,1772422 ,153315718 ,691008 
84,-1,-4,-3,-3,138775190 ,140815872 ,7281421 ,5016173 ,187049360 ,487212 
90,0,-4,-3,-3,141560426 ,315438469 ,3628778 ,7053464 ,229878430 ,5630106 
61,1,-4,-3,-3,101174081 ,73033874 ,4357558 ,308923 ,314214487 ,207684 
63,-1,-2,-3,-3,205587735 ,63171635 ,5801020 ,797438 ,253969423 ,256854 
64,-1,-4,-3,-3,149862236 ,141667599 ,4220663 ,2108572 ,206672132 ,747466 
69,1,-4,-3,-3,152849402 ,93669541 ,11026922 ,571974 ,348187515 ,669337 
24,-1,-2,-3,-1,30730026 ,142092879 ,3477066 ,38460006 ,2491024 ,682216 
30,-1,-2,-3,-1,281785389 ,401781923 ,777832 ,15522243 ,1013267 ,309078 
60,3,-4,-3,-1,117743307 ,225657046 ,4189402 ,6643724 ,52760736 ,2363783 
57,2,-4,-3,0,89040117 ,112125191 ,6785586 ,3964938 ,132695918 ,2603982 
11,3,-4,-3,1,25594750 ,121391322 ,2093749 ,12123230 ,170500 ,283770 
39,-1,2,-3,1,72118416 ,193844120 ,7601025 ,2077792 ,1452050 ,391009 
82,2,-4,-3,1,152742126 ,374083063 ,3247808 ,8677057 ,109840913 ,1123651 
103,3,-4,-3,1,71198376 ,121156912 ,1850149 ,2032381 ,25326860 ,576984 
100,3,-4,-3,2,19651583 ,52219287 ,88035 ,49682 ,4681613 ,81410 
99,3,-2,-3,3,23058588 ,99444757 ,1133821 ,863487 ,33236414 ,1776949 
1,3,-1,-3,4,36621035 ,53117574 ,10074 ,2216325 ,113663 ,1798057 
51,3,-1,-3,4,91582705 ,225109736 ,5049496 ,1214570 ,36224641 ,464045 
79,3,-4,-3,4,62507375 ,131246899 ,12279353 ,2356698 ,240144968 ,1184085 
86,3,-4,-1,4,190025187 ,354464004 ,6989637 ,27439534 ,189410075 ,1981913 
87,3,-4,-3,4,168585424 ,532909302 ,4860668 ,3257959 ,72987070 ,1924680 
89,3,-4,-3,4,68911604 ,231852955 ,7560684 ,6109492 ,281210296 ,7235251 
91,3,-1,-3,4,90679131 ,209864288 ,4675328 ,597327 ,96710733 ,1122594 
97,3,-2,-3,4,174742323 ,273093694 ,988394 ,533059 ,15832877 ,1513349 
8,3,1,1,5,3377540 ,22675583 ,3061 ,170957 ,917791 ,466859 
10,3,1,2,5,6938935 ,49048676 ,0 ,90544 ,17130061 ,12789449 
12,3,0,2,5,14447237 ,75782516 ,5029 ,447704 ,48400 ,405543 
13,3,0,2,5,6277620 ,28350612 ,0 ,427257 ,520391 ,239343 
15,3,-1,2,5,9247891 ,65490635 ,1 ,497701 ,151640 ,654989 
16,3,2,2,5,6579928 ,46719517 ,0 ,107495 ,2 ,107932 
21,3,-1,2,5,5426796 ,25655667 ,1830 ,126942 ,80148 ,111417 
22,3,0,2,5,19552222 ,69473067 ,0 ,364818 ,780365 ,15535454 
26,3,-1,2,5,13722074 ,68639472 ,0 ,1066959 ,1534616 ,882158 
29,3,-1,2,5,20566993 ,115448537 ,0 ,1916306 ,35532605 ,6478302 
31,3,1,2,5,2002092 ,38840689 ,52948 ,840712 ,479030 ,832692 
37,3,0,2,5,23269032 ,88881624 ,0 ,102239 ,696410 ,667813 
40,3,0,2,5,20645026 ,101073564 ,6467 ,82453 ,223983 ,443854 
41,3,-2,1,5,10810550 ,83013207 ,20683 ,76843 ,441589 ,18168 
42,3,0,2,5,9069102 ,50429748 ,17513 ,85533 ,10823463 ,309050 
45,3,0,2,5,33752544 ,99249743 ,889909 ,447505 ,3413124 ,1338423 
55,3,-4,2,5,35951342 ,193857384 ,1517313 ,344896 ,24457928 ,135345 
4,3,-1,-1,5,16096417 ,43279532 ,1 ,295156 ,90808 ,160809 
5,3,-1,-1,5,37781175 ,116626360 ,0 ,430417 ,129784 ,86535 
9,3,0,-3,5,23129710 ,110776096 ,92407 ,2832095 ,90377 ,192725 
14,3,-4,-3,5,21176547 ,103283349 ,0 ,1478344 ,576659 ,1287672 
17,3,-2,-1,5,5816865 ,32683341 ,0 ,87087 ,124104 ,684374 
19,3,2,-1,5,20703410 ,96459213 ,0 ,298720 ,333354 ,874467 
20,3,0,0,5,19799537 ,50888146 ,1 ,305182 ,33859 ,336737 
25,3,-2,-3,5,54011881 ,140253200 ,223626 ,3736842 ,358179 ,421835 
28,3,-1,-3,5,20006889 ,96876784 ,16875 ,947391 ,857196 ,1132865 
32,3,-4,-3,5,43098843 ,152525796 ,133180 ,1895645 ,5764331 ,431094 
34,3,-4,-3,5,109644121 ,232168855 ,1039197 ,3123997 ,227790 ,8531 
36,3,-1,-3,5,105465896 ,246308925 ,3851730 ,1383548 ,957389 ,230065 
38,3,1,-3,5,32844142 ,158670819 ,49960 ,220666 ,17769953 ,666161 
49,3,-1,0,5,32155116 ,118127838 ,735542 ,237337 ,4437683 ,619125 
52,3,-1,-3,5,18947325 ,121448173 ,762816 ,206949 ,4480455 ,105123 
54,3,-1,-1,5,19085140 ,113767887 ,149878 ,96536 ,2352801 ,108524 
56,3,-2,-3,5,25826372 ,122346673 ,44202 ,97138 ,3515697 ,32123 
59,3,1,-1,5,42755588 ,177408373 ,401327 ,117833 ,5029272 ,303847 
62,3,-1,0,5,50781017 ,8757937 ,11465031 ,182813 ,121203973 ,176733 
65,3,2,-3,5,16837058 ,3487695 ,8480879 ,112030 ,102085016 ,70678 
66,3,-2,2,5,4920384 ,27767206 ,6554566 ,286529 ,60260403 ,164141 
67,3,-2,-3,5,134769053 ,88823921 ,3328129 ,886493 ,250089815 ,207920 
71,3,-2,-3,5,66915639 ,183335587 ,3888743 ,695482 ,32401570 ,306667 
72,3,-2,-3,5,9368121 ,39882819 ,10906 ,5044 ,276684 ,10373 
73,3,-1,-3,5,49023333 ,98386483 ,16485389 ,2090973 ,146195988 ,400153 
74,3,-4,-3,5,28645086 ,116056115 ,4637266 ,664982 ,112500480 ,284630 
77,3,-2,-1,5,100256350 ,221825184 ,4325146 ,434794 ,18668644 ,1097478 
78,3,-2,-3,5,47041400 ,161486722 ,10850171 ,1505598 ,135323748 ,732440 
83,3,-4,-3,5,72183705 ,89167838 ,1988143 ,325255 ,33390906 ,255956 
85,3,-2,-3,5,515082374 ,539728222 ,5110308 ,37474415 ,238234209 ,658762 
88,3,-4,-3,5,19502393 ,127490974 ,8410 ,5117 ,696763 ,194648 
92,3,0,-3,5,8845722 ,62822750 ,2611 ,53301 ,2554040 ,69645 
93,3,-1,-3,5,46423789 ,136944334 ,4465992 ,2154003 ,162636370 ,155696 
96,3,-4,-3,5,24167283 ,101486668 ,2380431 ,577072 ,50824515 ,682570 
101,3,-2,-3,5,15751193 ,80167752 ,42141 ,2 ,1700717 ,157297 
104,3,-2,-3,5,59785076 ,112115959 ,1301199 ,1533783 ,13395457 ,651279 
